,session_start,session_end
365,2017-06-25 23:50:00,2017-06-25 23:50:00
366,2017-06-26 10:15:00,2017-06-26 11:40:00
367,2017-06-26 16:15:00,2017-06-26 16:20:00
368,2017-06-27 20:30:00,2017-06-27 20:30:00
369,2017-06-28 13:05:00,2017-06-28 13:55:00
370,2017-06-29 18:45:00,2017-06-29 18:45:00
371,2017-06-30 15:50:00,2017-06-30 15:55:00
372,2017-06-30 16:20:00,2017-06-30 16:45:00
373,2017-06-30 16:55:00,2017-06-30 16:55:00
374,2017-06-30 18:45:00,2017-06-30 18:50:00
375,2017-06-30 19:00:00,2017-06-30 19:00:00
376,2017-07-02 12:30:00,2017-07-02 12:30:00
377,2017-07-02 12:40:00,2017-07-02 12:40:00
378,2017-07-02 12:55:00,2017-07-02 12:55:00
379,2017-07-05 14:20:00,2017-07-05 14:20:00
380,2017-07-05 14:50:00,2017-07-05 14:50:00
381,2017-07-07 13:20:00,2017-07-07 13:25:00
382,2017-07-07 13:35:00,2017-07-07 13:35:00
383,2017-07-10 12:05:00,2017-07-10 12:15:00
384,2017-07-10 12:35:00,2017-07-10 12:55:00
385,2017-07-11 15:55:00,2017-07-11 15:55:00
386,2017-07-11 21:20:00,2017-07-11 21:25:00
387,2017-07-11 21:35:00,2017-07-11 21:35:00
388,2017-07-11 21:45:00,2017-07-11 21:45:00
389,2017-07-11 23:15:00,2017-07-11 23:15:00
390,2017-07-12 00:10:00,2017-07-12 00:10:00
391,2017-07-13 15:15:00,2017-07-13 15:15:00
392,2017-07-20 09:10:00,2017-07-20 14:40:00
393,2017-07-20 15:00:00,2017-07-20 15:00:00
394,2017-07-20 20:40:00,2017-07-20 20:45:00
395,2017-07-20 21:10:00,2017-07-20 21:15:00
396,2017-07-20 21:35:00,2017-07-20 21:45:00
397,2017-07-20 22:50:00,2017-07-20 22:50:00
398,2017-07-20 23:10:00,2017-07-20 23:10:00
399,2017-07-20 23:20:00,2017-07-20 23:20:00
400,2017-07-20 23:30:00,2017-07-20 23:30:00
401,2017-07-23 00:10:00,2017-07-23 03:50:00
402,2017-07-28 01:05:00,2017-07-28 02:00:00
